"ResponseId","ProlificId","Random.ID","Duration..in.seconds.","Strategies","RupaktalChunk","KehervaChunk","JhaptalChunk","TeentalChunk","Musical_Training","Musicianship_Category","value","Stimuli2","Trial","Pattern","Duration","DST_Score"
"R_2lTejvs28aDwwEN","67116ff4ff1b860cc596bbb1","11","1180","I tried to memorize each beat and mimic with my hands. ","2","4","1","1",35,"Low","Same","Ntrl","1","Rupak","4",7
"R_2lTejvs28aDwwEN","67116ff4ff1b860cc596bbb1","11","1180","I tried to memorize each beat and mimic with my hands. ","2","4","1","1",35,"Low","Same","Ntrl","2","Rupak","4",7
"R_2lTejvs28aDwwEN","67116ff4ff1b860cc596bbb1","11","1180","I tried to memorize each beat and mimic with my hands. ","2","4","1","1",35,"Low","Different","sdpl1","1","Rupak","4",7
"R_2lTejvs28aDwwEN","67116ff4ff1b860cc596bbb1","11","1180","I tried to memorize each beat and mimic with my hands. ","2","4","1","1",35,"Low","Same","sdpl1","2","Rupak","4",7
"R_2lTejvs28aDwwEN","67116ff4ff1b860cc596bbb1","11","1180","I tried to memorize each beat and mimic with my hands. ","2","4","1","1",35,"Low","Same","sdmi1","1","Rupak","4",7
"R_2lTejvs28aDwwEN","67116ff4ff1b860cc596bbb1","11","1180","I tried to memorize each beat and mimic with my hands. ","2","4","1","1",35,"Low","Different","sdmi1","2","Rupak","4",7
"R_2lTejvs28aDwwEN","67116ff4ff1b860cc596bbb1","11","1180","I tried to memorize each beat and mimic with my hands. ","2","4","1","1",35,"Low","Same","Ntrl","1","Keherva","5",7
"R_2lTejvs28aDwwEN","67116ff4ff1b860cc596bbb1","11","1180","I tried to memorize each beat and mimic with my hands. ","2","4","1","1",35,"Low","Same","Ntrl","2","Keherva","5",7
"R_2lTejvs28aDwwEN","67116ff4ff1b860cc596bbb1","11","1180","I tried to memorize each beat and mimic with my hands. ","2","4","1","1",35,"Low","Different","sdpl1","1","Keherva","5",7
"R_2lTejvs28aDwwEN","67116ff4ff1b860cc596bbb1","11","1180","I tried to memorize each beat and mimic with my hands. ","2","4","1","1",35,"Low","Different","sdpl1","2","Keherva","5",7
